Station ID	Station.Code	Station name	Station ID	Station Code	longitude	latitude	Catch_area_km2	runoff_mm/yr	Depth (m)	Lake_area_km2	Forest_Area %	Cultivated_Area %	Peat_Area %	Glacier_Area %	Water_ex_lake_Area %	Heath_Area %	Lake_Area %	Res_time_years
3040	419-1-23	Svarttjernet	3040	419-1-23	11.7048	60.2965	0.52	372	7.72	0.07	91.4	0	0	0	0	8.6	13.4	2.78
3041	419-2-8	Igletjernet	3041	419-2-8	11.7055	60.2762	1.82	352	5.11	0.13	92.9	0	0	0	0	7.1	7.2	1.04
3043	423-1-21	Langtjernet	3043	423-1-21	12.4121	60.4575	1.89	465	0.34	0.05	90.6	0	5.1	0	0	4.3	2.6	0.5
3044	423-3-14	Rotnesj?en	3044	423-3-14	12.3516	60.4773	87.82	435	8.26	1.07	94.3	0.3	2.9	0	1.3	1.2	1.2	0.5
3045	425-1-15	Kalbr??j?en	3045	425-1-15	12.3332	60.5485	19.39	420	6.56	0.07	92	0	3.3	0	4.3	0.4	0.4	0.5
3046	425-2-10	Steinsj?en	3046	425-2-10	12.2597	60.8218	13.84	484	1.79	0.16	95.7	0	3.1	0	0.1	1.1	1.2	0.5
3047	425-2-25	Knapptjernet	3047	425-2-25	12.1265	60.5833	9.21	309	2.56	0.19	94.9	0	3	0	0	2.1	2.1	0.5
3048	425-3-16	N?klevatn	17809	418-601	11.7873	60.4788	16.55	613		1.07	65.1	0	19.6	0	9.7	5.6	6.5	0.5
3049	426-3-1	V?mangen	3049	426-3-1	11.7902	60.5878	57.57	564	4.43	1.5	88.1	0	5.4	0	3.8	2.7	2.6	0.5
3050	427-3-12	Svenkebekksj?en	3050	427-3-12	11.9706	60.8539	103.26	497	3.04	1.17	93.5	1.5	3.8	0	0.1	1.1	1.1	0.5
3051	428-2-15	Mj?lsj?en	3051	428-2-15	12.1964	61.5681	7.46	867	3.52	0.35	14.3	0	9.3	0	0.1	76.3	4.7	0.5
3053	430-2-1	Setningsj?en	3053	430-2-1	10.2732	61.7551	146.56	518	14.44	0.72	20.2	0.3	0.9	0	0.5	78.1	0.5	0.5
3054	430-2-16	Gr?j?rna	3054	430-2-16	10.5755	61.8559	0.46	479	2.19	0.1	20.1	0	1.8	0	0	78.1	22	1
3055	432-1-2	Langtj?rna	3055	432-1-2	11.2815	61.5383	0.83	457	7.48	0.08	89.8	0	4.2	0	0	6	9.7	1.58
3056	432-1-10	Byringtj?rna	3056	432-1-10	11.4439	61.4838	1.53	564	1.36	0.04	2.9	0	0	0	0	97.1	2.6	0.5
3057	432-1-18	Stortj?rna	3057	432-1-18	11.2553	61.5993	1.39	425	5.53	0.09	48.2	0	15.8	0	0	36	6.5	0.84
3058	432-2-23	Hundtj?rna	3058	432-2-23	10.9583	61.824	1.58	449	3.89	0.11	58.7	0	29	0	0	12.3	7	0.6
3060	432-4-1	S?lensj?en	3060	432-4-1	11.6802	61.8776	387.64	547	10.65	21.66	48	0	5.4	0	0.3	46.3	5.6	1.09
3061	432-4-2	Storsj?en	3061	432-4-2	11.3642	61.3921	2292.64	558	147.08	47.55	43.2	1	3.2	0	2.6	50	2.1	5.47
3062	434-1-11	Abbortj?rna	3062	434-1-11	12.1431	62.3059	1.88	322	3.1	0.05	28.7	0	1.6	0	0.8	68.9	2.7	0.5
3063	434-2-4	Store Sorksj?en	3063	434-2-4	11.9997	61.9734	33.05	427	3.41	0.5	73	0	13.7	0	3.4	9.9	1.5	0.5
3064	434-2-21	Skjervagen	3064	434-2-21	12.1929	61.9161	11.44	451	2.37	0.71	89.2	0	3.3	0	1.1	6.4	6.2	0.5
3065	434-3-23	Fjellgutusj?en	3065	434-3-23	12.0951	62.0645	36.49	543	8.48	2.09	41.7	0	4.2	0	4.2	49.9	5.7	0.89
3067	436-1-3	Rabbtj?rna	3067	436-1-3	11.2743	62.3478	1.83	487	0.95	0.05	64.9	0	32.4	0	0	2.7	2.7	0.5
3068	437-1-9	Halvorstj?rna	3068	437-1-9	10.2083	62.5311	0.55	450	2.04	0.07	44.9	0	34.6	0	3.8	16.7	12.7	0.58
3069	438-2-19	S?re Klettsj?en	3069	438-2-19	10.2307	61.9962	3.73	539	3.66	0.19	15.9	0	6	0	0	78.1	5.1	0.5
3070	441-1-12	Storflotj?rna	3070	441-1-12	11.034	62.5315	2.28	447	0.34	0.04	84.2	1	9.8	0	0.5	4.5	1.8	0.5
3071	501-3-9	Mellsj?en	3071	501-3-9	10.7083	61.2019	31.81	859	5.09	1.23	7.6	0.6	28.9	0	4.1	58.8	3.9	0.5
3072	511-3-15	V??j?en	3072	511-3-15	9.424	62.1753	125.99	395	10.72	1.14	9.6	0.1	4.5	0	0.9	84.9	0.9	0.5
3073	512-1-8	Nedre M?lmsvatnet	3073	512-1-8	8.3726	62.2824	8.99	1024	3.36	0.1	0	0	0	0.7	1.1	98.2	1.1	0.5
3074	512-1-14	Lomtj?rni	3074	512-1-14	8.696	62.2751	1	686	0.96	0.06	12.5	0	2.5	0	3	82	6	0.5
3075	512-1-18	HOH 1506	3075	512-1-18	9.098	62.3532	0.89	849	6.79	0.06	0	0	0	0	6.3	93.7	6.8	0.54
3076	512-2-23	Ryggh?tj?rni	3076	512-2-23	8.568	62.0418	10.22	780	2.6	0.22	0	0	0.1	0	2	97.9	2.2	0.5
3077	512-3-12	Langvatnet	3077	512-3-12	9.1377	62.3103	11.86	896	14.79	1.29	0	0	0	0.4	11.1	88.5	10.9	1.8
3078	513-1-7	HOH 1370	3078	513-1-7	7.4477	62.0393	1.74	1317	2.99	0.07	0	0	0	19.4	3.1	77.5	4	0.5
3079	513-2-5	Gr?ntj?rni	3079	513-2-5	7.801	61.7526	4.14	1645	13.86	0.55	0	0	0	40.5	14.9	44.6	13.3	1.12
